prompt_id,split,category,source_row,field,n_tokens,distinct_tokens,repeated_4gram_fraction,top20_token_share,text_sha256
human-00043,human_response,general_qa,14853,response,162,98,0.0,0.450617,1fc04799a2bfcc5410aedd0ef10b068c290d6eb0989aae946fb7fba67a805632
human-00044,human_response,brainstorming,173,response,216,125,0.00939,0.439815,5e65f015c45b1a7314469f87f1c8e717580251005ba00e4cc1cef7cad93499ff
human-00045,human_context,summarization,6121,context,708,320,0.017021,0.437853,b725f9ddccf93676837cf65dca9782055af444664cde9e45221da211b5b6a319
human-00046,human_response,open_qa,9033,response,232,152,0.017467,0.387931,612cad056c1954bfcdc8f9754f411e65a576ee5e360c74bcd7fb5d0d73eb2a3c
human-00047,human_context,closed_qa,1561,context,636,269,0.018957,0.404088,4e6eb9a8f745e348a023aa6e6899cd1aefd06ed84d8d47104c12a8592ee7f3b6
human-00048,human_response,creative_writing,9748,response,254,118,0.047809,0.535433,30a5647a0b23a125a8f70925c82b21de25ba1c1ac110f0ba8ebea3d0aad09cce
human-00049,human_context,summarization,13656,context,688,279,0.064234,0.37936,da22e5a4afe609189eeceb7bedc20aad029276011515814268b033a4447afd83
human-00050,human_response,general_qa,11946,response,171,106,0.0,0.450292,8c34cd0bfce0daacdc12714d65cd2bc392a01cfd64b59b65dc02568308919ad4
human-00051,human_response,open_qa,8851,response,134,77,0.038168,0.514925,a5df652f3e652da9a0e9407bbcdf6419d462fb99fbaa8c0cda270f7e34af33cd
human-00052,human_context,closed_qa,9226,context,683,266,0.127941,0.458272,75f331ef902d280eea10936adf70b54620b140a303d4c29ae6ab0789e8d6cd64
human-00053,human_context,information_extraction,9354,context,595,279,0.052365,0.416807,e455e16347da22e243e6a5592b021a46275d746945a726da61a551bec323d33e
human-00054,human_context,closed_qa,13241,context,395,203,0.010204,0.394937,a888608ca7bc479b7f758218e7b33efd0f0cdc253cef9dda2112b5d95115f68d
human-00055,human_response,summarization,8454,response,139,92,0.0,0.460432,19353205849e4cb15553fa0d7dcac3e54630804032d717fd0a66a81b07da671a
human-00056,human_context,summarization,2258,context,313,179,0.012903,0.415335,9f6829b8ab975e13a9bd1ca3f9aad5f8a4c24483839c2df20530e9edfaf5fdfa
human-00057,human_context,summarization,9993,context,202,99,0.030151,0.519802,9dffe65a419129dac379152386b0b47c07005adbdfea87390f809c12994aa628
human-00058,human_response,general_qa,275,response,284,139,0.088968,0.440141,741b29affe7642da83331e783c1cf960c1dd400d220c3e1368f49fec79063e40
human-00059,human_response,closed_qa,7046,response,354,201,0.014245,0.361582,102adbb367880d68e2835e3546d2af42c61bdeffdb3f3da93e014950d5628f50
human-00060,human_response,brainstorming,3457,response,287,151,0.03169,0.463415,c468a512bb21521481c8f64a005102c0021a6ed75a8422467b4b041cacee132a
human-00061,human_context,information_extraction,7157,context,460,206,0.194748,0.48913,e2ec09f52955c1137a9c872430ce2d97393619271bd1e5727113bfb4faf19848
human-00062,human_response,creative_writing,1762,response,161,101,0.006329,0.459627,b2d4a52c842cfdd36bdaa7bacd4f6f0ec4dac9fb03a1cff0b5a717821b335d76
human-00063,human_context,information_extraction,1512,context,195,136,0.010417,0.358974,2aecd0479fe17385fb59f353e0ffc0da67b1ea944a04a78417bab1f018511a43
human-00064,human_context,information_extraction,13380,context,214,135,0.018957,0.434579,08bc97213e4ef737562475e135df33a881ab90387787afd8cd866ac80a629065
human-00065,human_response,open_qa,12285,response,175,107,0.011628,0.428571,95fe184be02a413a8c00603a77cb3582d4924145717f1f2398ea75e0accaf596
human-00066,human_response,summarization,6226,response,233,128,0.052174,0.476395,63db9dff157e8e29ba96aade122d1ecd3fde5464ff4bd3a07e7f234e689e5872
human-00067,human_context,closed_qa,12190,context,305,162,0.033113,0.436066,929464f39bbda79d5c1dfbeacadb830064eec782576dc05157e6b89b954e62c8
human-00068,human_context,information_extraction,13481,context,218,135,0.0,0.408257,9f615610e2993b31ae004dd6bae7c0bc9ff980474e71d4e5b28d655c4e48d4d2
human-00069,human_context,summarization,3734,context,141,101,0.0,0.425532,672a5132270e5b6853efd30aeaed8a8667464d621b8ec5b8963be06c7a373d21
human-00070,human_context,information_extraction,7450,context,132,89,0.015504,0.469697,62841681b930e6769a34c43f55418439bd38b11e81d2aa25a741426df5dcd577
human-00071,human_response,summarization,4412,response,221,140,0.0,0.393665,003893fe7ebbc608d76202e0c6c4a637ad8c59ae5a2770633474144798786800
human-00072,human_context,summarization,6781,context,1021,402,0.091356,0.455436,3d9c477e3d8becab45356169ca1e4c3a059efc7b24920bf5b6a7ec63902f472e
human-00073,human_response,open_qa,293,response,146,83,0.027972,0.513699,e0368b6df0fd9a4a1aee2ea44d116317a7c22a235ba535040a95e5ddc3d4269e
human-00074,human_response,general_qa,6865,response,148,84,0.0,0.527027,a5d5d3a3ada8838821bba5b7233b779828964fe217711effaf9ff207a9ec0a63
human-00075,human_context,closed_qa,5758,context,721,325,0.058496,0.431345,833661b8912c308d93a55208c4751b3987f9b0c242e19ab2293be9b7807dc2a3
human-00076,human_response,creative_writing,9819,response,255,129,0.015873,0.462745,7c59407d34f0456966dc429f7669c1bd59377bfb25731e1a99e71ade28f63b81
human-00077,human_context,closed_qa,2601,context,726,364,0.017981,0.402204,75ef80a9c76daa2b2bc5dd53f2752b2cc64486e1f46e8d1b20baf87eb96e90d9
human-00078,human_context,closed_qa,2954,context,142,80,0.028777,0.450704,2d21dea95065748d58179882d81d78150880c893203cdb9167876e61e78d0ef6
human-00079,human_context,information_extraction,10318,context,159,90,0.032051,0.528302,02f7152904aaf108158d37863cc3a463366ef77abc9d427210ae701f55af9947
human-00080,human_context,information_extraction,4709,context,150,102,0.0,0.446667,9b875d5c8e5294a2dad3cb6e13c6787ea51e2d3f4cd7a5a4ab0aec85eb5817ae
human-00081,human_context,closed_qa,6623,context,251,150,0.004032,0.418327,40bd9fdbdb2f1561d1de9ea85ea9e8151a6e3c5198da0d0f33594cf8d670915e
human-00082,human_context,information_extraction,9066,context,319,177,0.031646,0.435737,3d8c4097272162694f9168b7cf3c31c0d47acf5b3e71bd8bbd22d80c046d5ace
human-00083,human_context,closed_qa,6595,context,158,103,0.032258,0.436709,062abbb2857e287cf0ebdb9424931e25c6454d4ddf541a3570dc436576143c8c
human-00084,human_context,information_extraction,2292,context,185,103,0.021978,0.475676,49cdfce26a63678b332e9a0cac62146b314f69d89aebbbb19e93ecbdba1c33df
human-00085,human_response,brainstorming,3760,response,199,109,0.056122,0.502513,fa989082d9007d29d1ab7842e5754ee020b57d62176031b668550e0104a52774
human-00086,human_response,creative_writing,2543,response,260,127,0.015564,0.496154,a92b73e0a4a932ffaaf61805d20c6ab107dd9eea30a9dd752861d5a87ac4e660
human-00087,human_context,closed_qa,631,context,183,111,0.005556,0.459016,2fb8402f8b6b43e244246980dd5c93c646bac2b841db68cb5222eeaba93ded2e
human-00088,human_context,information_extraction,3903,context,135,86,0.015152,0.451852,f49bd2bb4b6ac93f577293cb5eef3be5e930b3648d07e7523b64cc0fd4210eb6
human-00089,human_context,summarization,5014,context,141,95,0.007246,0.468085,07f75c3c05be4d83a26fa34834099ea9b30db927cd831824fb8486918aef438e
human-00090,human_context,summarization,10804,context,199,132,0.0,0.422111,853686830b89b853615678d486aefb9b4bfa1e5dff3cb8447d14c60a0ca4a20f
human-00091,human_response,general_qa,7015,response,131,77,0.046875,0.564885,a6b3b6766071950569b7b3ba8ddf2c0d937a7c6d01a1c7da7ee32ab0339c9c34
human-00092,human_response,creative_writing,14936,response,157,105,0.0,0.426752,d0f1449c0fefea75378e7e2826b448a2c0bc09c744a30b8b0b2fad2c237e8605
human-00093,human_response,general_qa,395,response,171,100,0.005952,0.461988,7f9720d0c3fafd4b0c1b5fbac03f00f700d22bde71aedde1e9d15f00238996c0
human-00094,human_context,summarization,13035,context,207,125,0.0,0.444444,7a8a105eda14ce3b42725cd21db8ba82ac4f6a2b7d820a00f681820ec2278db3
human-00095,human_response,creative_writing,7847,response,352,191,0.002865,0.400568,1533c876f3049ae757234476e633e6d0b054f7d4643b5db000b284565ad7487f
human-00096,human_response,general_qa,4804,response,346,199,0.011662,0.398844,5df376da26ac6280d2ba5294f3643590133b1bb98d52c4ee9580b261088fadac
human-00097,human_context,closed_qa,7163,context,1444,578,0.035392,0.346953,01b90d4d8203b02646fb32558bc060ebcfa6b35bc279c967ffa3911f1ebfb8f7
human-00098,human_response,brainstorming,14167,response,377,213,0.05615,0.432361,a004ab5806c09c5603aa7549010fc7834969e3a7048cc8240101986f2396c37a
human-00099,human_response,summarization,11210,response,274,163,0.00738,0.386861,59fa7faf6aca5c446be1d18c26f25f4e715de678897e16321264e0e1e834785b
human-00100,human_response,summarization,4168,response,540,242,0.068901,0.466667,ec8e7ce7545b8bf47c324c770df63bfc86e5749910dd7c61285ffe4fe6b3e698
human-00101,human_context,closed_qa,6832,context,378,214,0.013333,0.42328,5a66778386181d5472c865da95ac6a44e1fd15bcdb52fa945a6743cda4e68d74
human-00102,human_context,summarization,4894,context,177,115,0.005747,0.40678,74f2abe727f9dd1b721d9d4fd8ca0e30c9f5c4089bd0f6aef2cf343f8313e712
human-00103,human_context,closed_qa,10679,context,2536,945,0.033557,0.323738,8cb9dbbe36b547c6b9a30c1e532e2c808bd24c033e5e5ad5f1182ba208dee2c9
human-00104,human_response,general_qa,13279,response,136,84,0.015038,0.5,845fe9fcc59b17c2df419c2e45491559143e0dd77586c8b45bd03c9119c36e13
human-00105,human_response,information_extraction,6833,response,469,256,0.008584,0.362473,6d4bbc034eda5f83dea097dc669762c86db3d7524b638f37443b1569b0b03f98
human-00106,human_response,open_qa,10747,response,500,275,0.004024,0.35,7069a067c9bf9fdcc82125966d09e9054abd185e128e55d8d871df7c0415dad3
human-00107,human_context,closed_qa,12659,context,2024,721,0.04948,0.333498,774c61a81cff0ffedf60c3f942ad9f6a690b59c94cd2d380321d227113e9fee9
human-00108,human_response,classification,13555,response,180,99,0.00565,0.455556,4dcd77ee99423f5a010838eef7de1e7ab986575eba85e9cdaa0e8d14423261f7
human-00109,human_context,information_extraction,271,context,148,92,0.013793,0.425676,398b1ae430d8f6edf716110741d923532a4eedc80080d161374f79229086b9a1
human-00110,human_response,creative_writing,587,response,179,92,0.017045,0.530726,65ff9e6fb031452d643b9d958d79ee06e3c34fd918e65ea9ebac457f44ec5909
human-00111,human_context,closed_qa,8114,context,441,245,0.013699,0.399093,1e34dc6bfb9026fa86e826c6b31b765d486b654dbb473d2627aca9ce22a7d571
human-00112,human_context,closed_qa,2182,context,172,99,0.011834,0.494186,505c615f2a6727d75c1eb7a904fdac48b0716584c49539c3135c71e2273ecb54
human-00113,human_response,creative_writing,1447,response,191,117,0.0,0.439791,5ff0c6d5a38c4141a6bd6288321c5c080f30c4c23c2e778fb3cd8225c9bdfa78
human-00114,human_context,summarization,8530,context,195,124,0.0,0.410256,70dfe371e1cf15d6a104fa76ec46e4cc05892b4858a6d52de3d236546585b377
human-00115,human_response,brainstorming,7780,response,149,81,0.116438,0.590604,0df49c0183b389c65d4739c66fe8499a6847094fd7bee53386808a8eb633af9c
human-00116,human_response,general_qa,4170,response,222,128,0.013699,0.441441,ebd441d1e70207f89f2c629242e422c0e4ef67dea4c6635544b9b8eb367b010c
human-00117,human_response,open_qa,5139,response,522,154,0.131021,0.601533,8ccfc4b747a8f93c524b9f998be5b2e5b65bcecc080bfa8cd7d8dac0b43e0c6c
human-00118,human_context,closed_qa,8409,context,132,89,0.0,0.469697,d903db4d6225f67e5b08bf131db032500deeab145db69fd4ed28abfb628b03ed
human-00119,human_context,closed_qa,4147,context,367,188,0.03022,0.39782,c0ea4b26aaa1c34a85876c14ca00df404c61c8f00f3b63be6933149ab887b02a
human-00120,human_response,summarization,6576,response,155,83,0.131579,0.593548,e68f03a3eca98a9599ff241990ab108c1ba9c943517b6be18181bb6f9cbd223a
human-00121,human_response,summarization,1743,response,190,124,0.0,0.384211,c755d3ae41fd17bb551e660ec7b4abe3faa2299b63851acf8899f89f88cf40f1
human-00122,human_response,general_qa,10920,response,142,82,0.0,0.514085,d484937e42e179bbe3c083014a4f2c6e0c333678eac924bc19f4730b41cc8d26
human-00123,human_response,classification,6084,response,169,76,0.307229,0.443787,4d393e0ba4133f812f33b64762c641630175bc618171c1faad018d2d5a3219e1
human-00124,human_response,general_qa,10029,response,170,95,0.023952,0.494118,be1566c6b7799b672cb2a622de958108e7b137124cdbf93bae875ccbe7a5a4a8
human-00125,human_context,information_extraction,5844,context,301,184,0.0,0.385382,f865eec20805cdad73049cd161bd06e167107932254d49d5473d0c96a4f5a1c0
human-00126,human_context,closed_qa,11397,context,252,150,0.0,0.424603,d3b5d5aca37076da6c76cec71a87c757be6af0957b74de88c55ee82f2a2ee76f
human-00127,human_response,summarization,3056,response,181,123,0.0,0.430939,c910760e14d0e3c5998e4f51496836f4f2448d87f88880afc95cdc6a17633caa
human-00128,human_context,summarization,9295,context,597,318,0.006734,0.383585,af0d65459648fb0045606ae9b5f03a78a5919d4740eae76a051aa8bc312d5c76
human-00129,human_context,summarization,8717,context,991,386,0.026316,0.398587,4c9302393f31623fd8b25079492647934e611414df077ff8a8da2681c7ee89ee
human-00130,human_context,information_extraction,10401,context,1189,508,0.016863,0.355761,5c57757afb3277845953cc902dcd45c931e66b66613239b0d2a9fb9ea063e64e
human-00131,human_context,closed_qa,1206,context,227,126,0.013393,0.475771,ee5cd9a4c48219efed3ae1e58bdf1052ff22e8ef6d818548a2c51900c85dd491
human-00132,human_context,closed_qa,13717,context,139,71,0.022059,0.589928,5b6caf5825f934f9e87fe1a3a543f3d327b40f4a028207083552ca8cbf05efce
human-00133,human_response,open_qa,7559,response,129,87,0.0,0.465116,b82acb16122c1fdaa4241092237f765917233de01e3e874d943f0ced7fc9cc15
human-00134,human_response,open_qa,4156,response,166,95,0.03681,0.481928,9999440d7fabeef000cfc0de757db74528a9ba33d8ecee1edc1ff0dd623efe38
human-00135,human_context,summarization,9383,context,325,190,0.006211,0.375385,a3554a2c2b34ba0e628955888fed5f7272f23541b7a7bb4cd44038d57927aa9f
human-00136,human_response,general_qa,13530,response,164,103,0.006211,0.432927,e23e2f097331d7319281d7d1e0ca8a255d0a658ae4ed61dbc7873fda6ba292a6
human-00137,human_response,creative_writing,12168,response,170,100,0.05988,0.470588,df1a54bc467636ccef1b6a7054382ffcd6e6400cd837b6b14c456c4b99df188c
human-00138,human_response,creative_writing,11130,response,187,103,0.021739,0.518717,ff3cccf66111d2f86acd6035e41e9eec7760396ce761db32c4c556aeeba7bda3
human-00139,human_response,general_qa,8544,response,337,197,0.0,0.35905,4f335adb4ca974e06469053048220ab86f1ffa1fb313f2213c9053dbac4356a3
human-00140,human_context,closed_qa,12310,context,221,131,0.004587,0.438914,596ea010ef02e334d3b3790089c566622bc1f7a781cf15bfa50aa8e5ba02b63c
human-00141,human_response,creative_writing,7906,response,212,97,0.004785,0.54717,5eec7f3f3f67b12cbde8b8de487c5efd5698de159f8a108a893c8c60f83ac890
human-00142,human_context,summarization,9433,context,244,143,0.004149,0.42623,34ff20e6ea62086da91a3dd34db13111be8c3dba1dfc5b8c2c695f15a6b66a5f
human-00143,human_context,information_extraction,7121,context,513,218,0.045098,0.393762,961d06c9e20c990e304e3282b1a56ef2bb3737865fe16696eff329b16a3eec2e
human-00144,human_context,information_extraction,10301,context,331,175,0.039634,0.416918,9ec9b16ebab24a68dd9cd84c5dbbc6bcc44da602d6652cae9e37a0105b2040e6
human-00145,human_response,brainstorming,10583,response,285,92,0.152482,0.712281,92fee871f09a02bed79aa12c8c5972d945c7124e3f4437f999d28da72d42a646
human-00146,human_context,summarization,299,context,152,88,0.033557,0.467105,894bd36c177e93ba9e90f19a6798d2c1e2ab3cca485ae36051ac18c2a1ef7702
human-00147,human_context,closed_qa,13216,context,176,104,0.0,0.454545,75b9839281c1a1a76035699ad54647ee67765cb386c0631e1e132e2ba16dc430
human-00148,human_response,summarization,9589,response,167,85,0.036585,0.550898,013aaba73ad688e185a3e2036cc67911cc9b0db49e58c5038297217f3d159009
human-00149,human_response,general_qa,5617,response,169,105,0.006024,0.449704,aa1fe81b78e5738b679e05faecb647dc7aeb418e2a3cb3729edcc73f24667f34
human-00150,human_context,closed_qa,14732,context,270,163,0.037453,0.381481,1d7a2c080bb02a01e7758ec865da5c34c776e46840eecd2125fe056111720c5d
human-00151,human_context,closed_qa,8359,context,306,157,0.023102,0.392157,6b10cbf3cc5bccd4bad2002df8cc12e9e7b24fb1321b58e8aceeb4ebe1a69296
human-00152,human_response,general_qa,958,response,178,102,0.011429,0.505618,020d82fff7b1e5b759954cacd94d7f7c376266e17bdd39da3386d625e9450920
human-00153,human_context,closed_qa,14054,context,373,201,0.024324,0.420912,bfeb3d8b10704ef85590b27413228fe02b78db37b471fb0526e6586260e39805
human-00154,human_response,brainstorming,5593,response,162,101,0.0,0.5,b0de397b2ca964cafc6f80137061b70d9d365b8f5becf80c92e55f9c24736653
human-00155,human_response,open_qa,13259,response,202,112,0.040201,0.480198,c8e1ea079a97f9a3e64f6f4de08031324ef57502578b035496f845c27b343630
human-00156,human_response,summarization,7915,response,148,90,0.006897,0.493243,d653d721e10262c392814fa1f7d4f196d78165959fa0d53f5bb1565426c8150a
human-00157,human_response,creative_writing,7573,response,137,80,0.007463,0.532847,de313fa3aa8b2f6b33926af466f690516717a3e1ff65a8f68d6a2fa86a9b7802
human-00158,human_context,summarization,6810,context,203,118,0.01,0.394089,565579b66b1688f72a903154f05c89c08c2609fcfb78a3ef5843cabf3e966a4c
human-00159,human_response,brainstorming,6998,response,140,72,0.029197,0.564286,534e753d9ab32c8eb87cd9826471827c416c33d8158941cf6bb1a451f13fc3dd
human-00160,human_response,general_qa,4128,response,133,75,0.038462,0.556391,bc7c093079c4fe6694c1bac56692636a25d0bf264d1b33e3a806c396a667af1f
human-00161,human_response,open_qa,8646,response,351,183,0.017241,0.435897,4b0afc36b4b29f9bd1fff9569c698ebd2ce3ac0c95121a4d9712cd741f60e5c0
human-00162,human_response,open_qa,12923,response,202,112,0.060302,0.490099,3eb6debca43ce4a6d2e0222396935d986d5ac33ebe57a3ba75690e02ff4424ea
human-00163,human_context,summarization,7277,context,132,89,0.007752,0.477273,4f0eaa4e46b6804cb8effc30fa11f8f963b390306436f4b25bbdbb9c6508e6cb
human-00164,human_context,information_extraction,5342,context,180,116,0.00565,0.422222,c01dc74b661255cf37c23698017c84659521e07cd7bd3ee0fd7f22473fd318cc
human-00165,human_context,summarization,13489,context,245,103,0.078512,0.587755,bca6f3229fb11b7376d935d525c5cb4c20b8ed9c256f4b9f73d68eda3bdf835c
human-00166,human_response,open_qa,4661,response,209,119,0.024272,0.454545,93ffb84376dde932b84a22f5c2820e458648bdb58c78ece9a6a83c5c46bd786e
human-00167,human_context,information_extraction,2896,context,521,239,0.021236,0.426104,649272df3d64817abbdd036132fc6a277065168addb56de61a1c75cb64a957cb
human-00168,human_context,information_extraction,2095,context,156,93,0.013072,0.5,700efc3b542530d4c7df452bd9598f20183a7215bce9c2ff485a790158ccb2e3
human-00169,human_context,information_extraction,2821,context,186,78,0.081967,0.591398,873f0bca5a24f8917d44218091f129037b6947c252cb69f4d9cb012c2f0f95cb
human-00170,human_context,summarization,11146,context,129,84,0.015873,0.457364,d035dc8557e1eace428654b41545effd9bdf1ced3a291e6476cb53c0be8e9fab
human-00171,human_context,information_extraction,4716,context,272,133,0.048327,0.496324,ff4e140d7b8206c89ec7b1fa404dbdfefc5893221d775c41f67d3f9f7e0a7959
human-00172,human_response,open_qa,9769,response,176,114,0.028902,0.403409,de1c898f9a07a30fc76f9d7ec1688401ed9102eaea9ea1830672955e76e5d80a
human-00173,human_response,summarization,14109,response,251,134,0.024194,0.446215,a2909232a26e4933b0b67a5e7d947994b26236b3541258e2d12022bc831575ba
human-00174,human_response,creative_writing,5814,response,320,152,0.056782,0.5,14f3bbd57bb2b2581203457028977a9f4b8e3452a4ae6384521eaad633319f38
human-00175,human_response,creative_writing,7137,response,149,94,0.013699,0.503356,1fd2d7996afcd9d4e3ed9ea3f0009309092c9493197acc422e643e7889f40175
human-00176,human_context,closed_qa,4614,context,226,125,0.049327,0.455752,818b39a159793478bbdfdf865832581926c5b07eccad1f5c108705a396d9bb1a
human-00177,human_response,open_qa,6829,response,134,101,0.0,0.395522,3f75a08ce28346969630e7bfcecfd0830e395f43b97a48669c997dae909dca2c
human-00178,human_context,information_extraction,7965,context,201,85,0.106061,0.636816,474816b3794ce574f37a546526e01280db5b9fe5bab1fa6b5bc54ed42d694af9
human-00179,human_context,closed_qa,13049,context,175,111,0.0,0.468571,0890b91406488f3fff8f8388abbb7994536d3c987017cb9cb07a421334d9c499
human-00180,human_response,open_qa,6743,response,256,140,0.003953,0.453125,0f8136a687da335a22e0bf7a3fa73711495738eb1ad19ebdbe3bcc0ffc9e0f83
human-00181,human_context,closed_qa,1837,context,179,106,0.005682,0.430168,a0e97999943deebb3a214a90802ad2bfa8094d2f823d5949a114253415a0e79d
human-00182,human_response,brainstorming,7874,response,277,121,0.018248,0.512635,f387d24eb384c8e977efca0e0987a25b2c5583159bddfcedbf3b723ff44a60e1
